,rows,canesm_hist,canesm_ssp245,canesm_ssp585,cnrm6_hist,cnrm6_ssp245,cnrm6_ssp585,ecearth6_hist,ecearth6_ssp245,ecearth6_ssp585,ipsl6_hist,ipsl6_ssp245,ipsl6_ssp585,miroc6_hist,miroc6_ssp245,miroc6_ssp585,mpi6_hist,mpi6_ssp245,mpi6_ssp585,mri6_hist,mri6_ssp245,mri6_ssp585,ukmo_hist,ukmo_ssp245,ukmo_ssp585
0,all_storms,281,231,387,230,287,442,286,301,424,163,168,329,230,145,326,219,187,347,288,267,448,267,322,509
1,tropical_storms,159,135,253,107,108,126,121,147,180,73,92,137,83,66,116,116,105,172,127,135,203,148,172,237
2,cat1,48,38,44,48,66,70,66,53,74,39,31,53,34,23,44,43,38,45,49,51,64,70,74,108
3,cat2,18,17,21,20,33,37,30,21,37,21,15,40,19,15,23,13,21,35,21,14,36,23,26,53
4,cat3,24,16,15,25,28,64,33,27,49,14,9,31,36,12,26,23,13,39,32,24,44,11,23,43
5,cat4,22,17,31,20,23,80,23,30,53,10,14,40,25,14,41,16,10,38,30,24,56,13,25,41
6,cat5,9,8,20,10,26,55,11,21,29,5,6,27,24,14,47,8,0,17,27,16,40,2,2,25
7,cat6,1,0,3,0,3,10,2,2,2,1,1,1,9,1,29,0,0,1,2,3,5,0,0,2
