,rows,canesm_hist,canesm_ssp245,canesm_ssp585,cnrm6_hist,cnrm6_ssp245,cnrm6_ssp585,ecearth6_hist,ecearth6_ssp245,ecearth6_ssp585,ipsl6_hist,ipsl6_ssp245,ipsl6_ssp585,miroc6_hist,miroc6_ssp245,miroc6_ssp585,mpi6_hist,mpi6_ssp245,mpi6_ssp585,mri6_hist,mri6_ssp245,mri6_ssp585,ukmo_hist,ukmo_ssp245,ukmo_ssp585
0,all_storms,243,199,200,262,235,358,207,269,280,319,171,349,309,220,351,234,168,234,176,153,233,288,160,302
1,tropical_storms,109,84,101,54,71,79,89,106,86,92,62,92,93,89,95,56,81,63,55,57,79,82,64,97
2,cat1,59,36,44,43,56,48,54,62,59,48,46,54,52,42,44,59,33,47,46,29,43,51,30,46
3,cat2,26,24,17,27,21,19,18,20,31,26,12,24,30,16,23,30,14,30,23,15,23,39,16,25
4,cat3,29,16,15,48,27,39,19,27,34,43,12,31,43,21,36,33,19,27,20,15,24,45,20,36
5,cat4,11,22,13,42,25,68,22,29,38,52,27,74,47,24,48,37,16,40,20,20,28,44,15,50
6,cat5,8,12,8,36,25,68,5,21,26,43,9,52,38,21,62,16,5,23,9,16,26,21,11,41
7,cat6,1,5,2,12,10,37,0,4,6,15,3,22,6,7,43,3,0,4,3,1,10,6,4,7
