,rows,canesm_hist,canesm_ssp245,canesm_ssp585,cnrm6_hist,cnrm6_ssp245,cnrm6_ssp585,ecearth6_hist,ecearth6_ssp245,ecearth6_ssp585,ipsl6_hist,ipsl6_ssp245,ipsl6_ssp585,miroc6_hist,miroc6_ssp245,miroc6_ssp585,mpi6_hist,mpi6_ssp245,mpi6_ssp585,mri6_hist,mri6_ssp245,mri6_ssp585,ukmo_hist,ukmo_ssp245,ukmo_ssp585
0,all_storms,129,83,103,195,177,240,222,211,314,112,72,131,180,142,192,198,127,201,138,93,140,157,133,179
1,tropical_storms,41,47,37,48,60,75,60,76,100,33,35,31,49,56,77,59,68,78,38,44,36,41,64,68
2,cat1,26,13,19,41,30,31,41,41,62,20,7,19,39,32,26,47,26,40,31,14,26,26,28,28
3,cat2,10,5,4,19,22,20,33,24,33,17,11,27,7,11,12,25,12,19,8,9,10,24,9,20
4,cat3,12,1,10,30,16,31,34,19,32,15,9,8,26,10,14,18,11,20,17,8,14,22,8,21
5,cat4,20,6,16,33,21,34,29,21,42,17,3,22,21,14,17,25,7,29,21,9,27,21,13,21
6,cat5,17,6,14,19,23,36,21,28,39,7,7,17,23,10,28,24,3,13,16,8,26,21,10,18
7,cat6,3,5,3,5,5,13,4,2,6,3,0,7,15,9,18,0,0,2,7,1,1,2,1,3
