,rows,canesm_hist,canesm_ssp245,canesm_ssp585,cnrm6_hist,cnrm6_ssp245,cnrm6_ssp585,ecearth6_hist,ecearth6_ssp245,ecearth6_ssp585,ipsl6_hist,ipsl6_ssp245,ipsl6_ssp585,miroc6_hist,miroc6_ssp245,miroc6_ssp585,mpi6_hist,mpi6_ssp245,mpi6_ssp585,mri6_hist,mri6_ssp245,mri6_ssp585,ukmo_hist,ukmo_ssp245,ukmo_ssp585
0,all_storms,12,1,2,36,51,71,34,55,60,38,27,37,11,7,15,29,15,31,4,3,8,8,4,9
1,tropical_storms,6,0,2,11,22,14,19,19,25,10,13,10,4,6,5,9,11,7,1,0,4,4,2,8
2,cat1,3,1,0,8,10,14,6,12,11,10,1,7,4,1,3,7,3,4,3,0,1,1,1,1
3,cat2,0,0,0,7,7,8,4,6,6,4,2,2,0,0,1,4,0,7,0,1,1,2,0,0
4,cat3,1,0,0,2,3,5,3,6,8,6,2,6,1,0,1,3,0,9,0,0,1,1,1,0
5,cat4,2,0,0,4,6,11,0,7,5,4,5,7,1,0,1,3,1,4,0,1,1,0,0,0
6,cat5,0,0,0,4,3,16,2,5,4,4,4,4,1,0,2,2,0,0,0,1,0,0,0,0
7,cat6,0,0,0,0,0,3,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0
