,rows,canesm_hist,canesm_ssp245,canesm_ssp585,cnrm6_hist,cnrm6_ssp245,cnrm6_ssp585,ecearth6_hist,ecearth6_ssp245,ecearth6_ssp585,ipsl6_hist,ipsl6_ssp245,ipsl6_ssp585,miroc6_hist,miroc6_ssp245,miroc6_ssp585,mpi6_hist,mpi6_ssp245,mpi6_ssp585,mri6_hist,mri6_ssp245,mri6_ssp585,ukmo_hist,ukmo_ssp245,ukmo_ssp585
0,all_storms,400,413,570,264,354,547,337,434,464,344,326,584,234,199,383,339,260,422,402,405,546,407,522,546
1,tropical_storms,132,177,212,56,71,110,110,137,143,83,102,116,66,88,108,118,110,165,130,142,179,110,192,194
2,cat1,82,76,88,63,66,78,67,95,94,81,79,98,45,44,54,56,69,84,67,82,89,69,104,94
3,cat2,35,38,53,33,36,50,35,46,50,40,31,68,19,20,30,32,20,34,43,46,42,54,39,46
4,cat3,41,38,51,37,41,70,47,53,58,41,34,59,32,18,37,42,29,47,55,46,69,56,62,71
5,cat4,58,44,79,38,52,75,39,55,57,42,45,126,37,12,52,59,23,61,51,46,61,56,76,63
6,cat5,45,32,71,26,68,100,37,34,54,38,29,78,21,11,57,29,8,30,45,38,80,42,41,60
7,cat6,7,8,16,11,20,64,2,14,8,19,6,39,14,6,45,3,1,1,11,5,26,20,8,18
