,rows,canesm_hist,canesm_ssp245,canesm_ssp585,cnrm6_hist,cnrm6_ssp245,cnrm6_ssp585,ecearth6_hist,ecearth6_ssp245,ecearth6_ssp585,ipsl6_hist,ipsl6_ssp245,ipsl6_ssp585,miroc6_hist,miroc6_ssp245,miroc6_ssp585,mpi6_hist,mpi6_ssp245,mpi6_ssp585,mri6_hist,mri6_ssp245,mri6_ssp585,ukmo_hist,ukmo_ssp245,ukmo_ssp585
0,all_storms,4,5,6,11,29,42,6,31,17,6,15,11,11,7,24,7,2,6,1,1,3,6,2,11
1,tropical_storms,3,5,1,6,22,20,2,17,12,2,6,4,3,3,6,4,1,4,0,1,1,3,1,6
2,cat1,0,0,2,3,3,6,2,9,4,2,4,1,3,2,3,3,0,0,0,0,1,0,0,1
3,cat2,1,0,2,1,2,3,2,5,1,1,2,1,0,1,2,0,0,1,1,0,0,2,1,4
4,cat3,0,0,0,1,0,6,0,0,0,1,2,3,3,1,7,0,1,0,0,0,1,1,0,0
5,cat4,0,0,1,0,2,6,0,0,0,0,1,2,1,0,2,0,0,1,0,0,0,0,0,0
6,cat5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
7,cat6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
