,rows,canesm_hist,canesm_ssp245,canesm_ssp585,cnrm6_hist,cnrm6_ssp245,cnrm6_ssp585,ecearth6_hist,ecearth6_ssp245,ecearth6_ssp585,ipsl6_hist,ipsl6_ssp245,ipsl6_ssp585,miroc6_hist,miroc6_ssp245,miroc6_ssp585,mpi6_hist,mpi6_ssp245,mpi6_ssp585,mri6_hist,mri6_ssp245,mri6_ssp585,ukmo_hist,ukmo_ssp245,ukmo_ssp585
0,all_storms,59,76,57,43,67,89,39,60,48,56,56,63,44,68,72,31,26,44,29,41,41,58,51,65
1,tropical_storms,37,43,39,16,35,35,25,37,22,26,36,25,18,45,25,12,17,18,12,27,16,20,31,24
2,cat1,12,18,12,11,11,11,3,14,7,12,10,11,11,14,15,9,2,11,7,3,9,19,8,7
3,cat2,2,5,1,3,3,4,5,1,2,5,3,5,8,3,8,4,0,4,4,3,0,5,1,4
4,cat3,3,2,4,6,9,7,4,2,8,3,2,6,2,1,12,4,4,3,3,4,7,4,4,6
5,cat4,4,6,1,4,2,10,2,0,3,8,3,7,5,3,6,1,2,5,3,1,5,6,2,12
6,cat5,1,2,0,3,5,17,0,4,5,1,2,6,0,1,3,1,1,3,0,3,3,3,4,8
7,cat6,0,0,0,0,2,5,0,2,1,1,0,3,0,1,3,0,0,0,0,0,1,1,1,4
